open,high,low,close,volume,time
7012233.0,7136169.0,6810928.0,6963895.0,471.0533,2021-11-01
6961521.0,7294030.0,6928417.0,7197127.0,464.7607,2021-11-02
7197529.0,7229998.0,6901000.0,7172382.0,374.7963,2021-11-03
7171707.0,7188657.0,6920359.0,7004633.0,313.7991,2021-11-04
7004585.0,7123211.0,6910103.0,6940001.0,321.8498,2021-11-05
6940001.0,7000000.0,6843000.0,6990000.0,260.4074,2021-11-06
6990000.0,7174985.0,6980795.0,7174984.0,268.1676,2021-11-07
7174985.0,7664456.0,7174985.0,7637891.0,625.0735,2021-11-08
7637864.0,7717717.0,7463319.0,7546658.0,494.6973,2021-11-09
7546203.0,7798000.0,7192011.0,7405000.0,838.4022,2021-11-10
7402839.0,7492478.0,7333333.0,7403419.0,350.7017,2021-11-11
7403419.0,7486522.0,7116786.0,7323612.0,379.5932,2021-11-12
7323611.0,7417000.0,7245985.0,7356601.0,292.8469,2021-11-13
7356600.0,7471999.0,7261809.0,7470000.0,230.6956,2021-11-14
7471762.0,7552590.0,7256241.0,7276092.0,310.2468,2021-11-15
7276093.0,7276093.0,6729853.0,6915002.0,920.3234,2021-11-16
6915002.0,6988695.0,6730000.0,6898678.0,532.3206,2021-11-17
6898677.0,6950000.0,6460000.0,6506790.0,856.5489,2021-11-18
6506781.0,6650000.0,6375000.0,6631710.0,475.3837,2021-11-19
6632710.0,6840000.0,6561516.0,6827530.0,327.5134,2021-11-20
6827530.0,6847786.0,6696011.0,6708115.0,339.9021,2021-11-21
6708115.0,6790651.0,6404236.0,6475415.0,595.8657,2021-11-22
6475416.0,6655773.0,6370000.0,6632010.0,560.3212,2021-11-23
6632000.0,6646813.0,6462188.0,6612245.0,405.7088,2021-11-24
6610397.0,6855178.0,6594814.0,6786001.0,490.8537,2021-11-25
6787916.0,6802780.0,6095001.0,6114621.0,917.8637,2021-11-26
6113414.0,6297109.0,6102353.0,6223244.0,327.0684,2021-11-27
6221092.0,6534669.0,6054405.0,6519657.0,397.7663,2021-11-28
6519999.0,6697035.0,6448011.0,6589185.0,367.4045,2021-11-29
6589184.0,6674453.0,6348725.0,6455636.0,547.0902,2021-11-30
6455637.0,6679143.0,6385721.0,6474916.0,475.5912,2021-12-01
6474000.0,6500000.0,6339854.0,6401471.0,455.9491,2021-12-02
6402000.0,6529000.0,5900000.0,6090279.0,631.4892,2021-12-03
6090280.0,6110000.0,5200000.0,5581765.0,1172.1919,2021-12-04
5581765.0,5645118.0,5411000.0,5600000.0,533.8017,2021-12-05
5600000.0,5786892.0,5360873.0,5740318.0,844.0463,2021-12-06
5740318.0,5899897.0,5690358.0,5749750.0,541.5428,2021-12-07
5748125.0,5836094.0,5551223.0,5746982.0,530.5176,2021-12-08
5748938.0,5782494.0,5384010.0,5414329.0,654.3863,2021-12-09
5414329.0,5696009.0,5330000.0,5361217.0,767.3338,2021-12-10
5361013.0,5622000.0,5320010.0,5604334.0,334.3371,2021-12-11
5609385.0,5767999.0,5540446.0,5699505.0,346.2754,2021-12-12
5698834.0,5713447.0,5210201.0,5323610.0,784.4735,2021-12-13
5322789.0,5538599.0,5273370.0,5502671.0,717.0298,2021-12-14
5503981.0,5657999.0,5310500.0,5583265.0,766.9760,2021-12-15
5584075.0,5650000.0,5412733.0,5420002.0,544.1315,2021-12-16
5420492.0,5470006.0,5170001.0,5255470.0,657.5486,2021-12-17
5255470.0,5391999.0,5187534.0,5336011.0,237.5104,2021-12-18
5336011.0,5484378.0,5292357.0,5307776.0,365.6551,2021-12-19
5303645.0,5405264.0,5182750.0,5333359.0,539.9813,2021-12-20
5331790.0,5620000.0,5306933.0,5577425.0,510.1867,2021-12-21
5576542.0,5661511.0,5538200.0,5548819.0,474.8199,2021-12-22
5548635.0,5875457.0,5495041.0,5808625.0,513.8741,2021-12-23
5808994.0,5918149.0,5770363.0,5810005.0,340.4182,2021-12-24
5811110.0,5849491.0,5729769.0,5767528.0,174.9682,2021-12-25
5765817.0,5853733.0,5659931.0,5797193.0,323.3041,2021-12-26
5797193.0,5972435.0,5752011.0,5820000.0,469.4968,2021-12-27
5820001.0,5820001.0,5435442.0,5454931.0,512.3077,2021-12-28
5454044.0,5536010.0,5300123.0,5343589.0,381.1700,2021-12-29
5343916.0,5507603.0,5285913.0,5419391.0,397.5456,2021-12-30
5417484.0,5575071.0,5256667.0,5324975.0,850.8853,2021-12-31
5325034.0,5526779.0,5325034.0,5510571.0,277.7770,2022-01-01
5508412.0,5529374.0,5384084.0,5459290.0,187.6898,2022-01-02
5458506.0,5478341.0,5280000.0,5362164.0,243.1993,2022-01-03
5362165.0,5520309.0,5303509.0,5335466.0,343.6451,2022-01-04
5333265.0,5455285.0,4958458.0,5052516.0,563.9622,2022-01-05
5056915.0,5090881.0,4926000.0,5007900.0,451.6777,2022-01-06
5006087.0,5008240.0,4717052.0,4819968.0,731.5861,2022-01-07
4820693.0,4905934.0,4707499.0,4835465.0,259.1958,2022-01-08
4835460.0,4946213.0,4779151.0,4845038.0,198.5934,2022-01-09
4845038.0,4895188.0,4585000.0,4828636.0,457.6239,2022-01-10
4828637.0,4980000.0,4786700.0,4934458.0,347.4052,2022-01-11
4936045.0,5088800.0,4908820.0,5046325.0,408.0599,2022-01-12
5046806.0,5084505.0,4842576.0,4864310.0,371.0903,2022-01-13
4866566.0,4968000.0,4770000.0,4927468.0,323.5743,2022-01-14
4927467.0,5000000.0,4879035.0,4928510.0,141.8182,2022-01-15
4928516.0,4972263.0,4880000.0,4937480.0,184.5606,2022-01-16
4937480.0,4948040.0,4780001.0,4850000.0,302.1333,2022-01-17
4848345.0,4892286.0,4742723.0,4858842.0,339.6718,2022-01-18
4858843.0,4879936.0,4721691.0,4771075.0,288.1797,2022-01-19
4770896.0,4962557.0,4631504.0,4645146.0,369.3599,2022-01-20
4645146.0,4686360.0,4050000.0,4160505.0,1267.9704,2022-01-21
4163807.0,4200000.0,3886980.0,3993564.0,704.1455,2022-01-22
3995000.0,4162008.0,3952001.0,4137333.0,435.7488,2022-01-23
4137332.0,4279000.0,3768000.0,4181922.0,1188.8040,2022-01-24
4183386.0,4282151.0,4074037.0,4216008.0,578.1739,2022-01-25
4216009.0,4455341.0,4165000.0,4229067.0,796.8842,2022-01-26
4229030.0,4296930.0,4083431.0,4291021.0,532.8883,2022-01-27
4291021.0,4376821.0,4184928.0,4350123.0,508.3366,2022-01-28
4350001.0,4464000.0,4308492.0,4402500.0,212.9641,2022-01-29
4404078.0,4426699.0,4312309.0,4370089.0,172.4999,2022-01-30
4372194.0,4458959.0,4237662.0,4432000.0,424.5983,2022-01-31
4431900.0,4505256.0,4367408.0,4445010.0,305.5655,2022-02-01
4444454.0,4458687.0,4195688.0,4223914.0,374.4495,2022-02-02
4224640.0,4300000.0,4170713.0,4289331.0,438.8510,2022-02-03
4291629.0,4804897.0,4262329.0,4786378.0,818.8270,2022-02-04
4786378.0,4829198.0,4720036.0,4773332.0,251.8071,2022-02-05
4771548.0,4915548.0,4743338.0,4887210.0,273.6875,2022-02-06
4887923.0,5124831.0,4802828.0,5046209.0,615.7512,2022-02-07
5045318.0,5253000.0,4934939.0,5095083.0,603.6341,2022-02-08
5095082.0,5176009.0,4986932.0,5130801.0,422.9724,2022-02-09
5132207.0,5305438.0,5027857.0,5058202.0,808.4410,2022-02-10
5057243.0,5091306.0,4850000.0,4894894.0,504.1578,2022-02-11
4894871.0,4969942.0,4823570.0,4880010.0,192.1512,2022-02-12
4880011.0,4944936.0,4844813.0,4866355.0,129.2231,2022-02-13
4867742.0,4953082.0,4806000.0,4920909.0,391.7527,2022-02-14
4918846.0,5177000.0,4902929.0,5157085.0,439.2660,2022-02-15
5157794.0,5159530.0,5008522.0,5066423.0,394.2459,2022-02-16
5067209.0,5100000.0,4612670.0,4662730.0,665.3362,2022-02-17
4662630.0,4727978.0,4550037.0,4612435.0,565.3443,2022-02-18
4612500.0,4664650.0,4576116.0,4624521.0,219.2116,2022-02-19
4624521.0,4624621.0,4385502.0,4417644.0,538.0124,2022-02-20
4421058.0,4554621.0,4229331.0,4251089.0,842.5604,2022-02-21
4251146.0,4425000.0,4184005.0,4404649.0,764.3493,2022-02-22
4405991.0,4522499.0,4265638.0,4279665.0,297.6968,2022-02-23
4281951.0,4599999.0,3955560.0,4431043.0,1343.1674,2022-02-24
4431991.0,4590000.0,4389105.0,4528572.0,484.0888,2022-02-25
4529591.0,4657995.0,4466000.0,4522043.0,304.0995,2022-02-26
4522043.0,4605904.0,4278404.0,4363257.0,485.0910,2022-02-27
4363250.0,5079564.0,4332152.0,4967953.0,1065.4839,2022-02-28
4969999.0,5163537.0,4921267.0,5102868.0,958.8590,2022-03-01
5104338.0,5230000.0,5003261.0,5077754.0,607.5890,2022-03-02
5077137.0,5105778.0,4834524.0,4909268.0,534.4718,2022-03-03
4909286.0,4915445.0,4433193.0,4505014.0,705.4819,2022-03-04
4505406.0,4556331.0,4438915.0,4532893.0,238.5442,2022-03-05
4532893.0,4564560.0,4385377.0,4418583.0,311.2007,2022-03-06
4419470.0,4561056.0,4292548.0,4390464.0,597.3998,2022-03-07
4389051.0,4550000.0,4376001.0,4487531.0,463.6611,2022-03-08
4486435.0,4930000.0,4480283.0,4864010.0,539.2239,2022-03-09
4865158.0,4870682.0,4484426.0,4587362.0,672.9982,2022-03-10
4587362.0,4703058.0,4453304.0,4543435.0,525.4473,2022-03-11
4542632.0,4622999.0,4533453.0,4555455.0,145.5090,2022-03-12
4555455.0,4609936.0,4420200.0,4454161.0,254.4492,2022-03-13
4454163.0,4726295.0,4420755.0,4692860.0,431.2626,2022-03-14
4692429.0,4719833.0,4505847.0,4648264.0,415.5020,2022-03-15
4648888.0,4920000.0,4600000.0,4887888.0,887.2108,2022-03-16
4887888.0,4919001.0,4814103.0,4855533.0,348.7394,2022-03-17
4855524.0,5037432.0,4784152.0,4973490.0,319.5706,2022-03-18
4975116.0,5053346.0,4951767.0,5031207.0,234.0816,2022-03-19
5031207.0,5039000.0,4880000.0,4924101.0,231.1400,2022-03-20
4925000.0,4951471.0,4835237.0,4908993.0,313.3904,2022-03-21
4904745.0,5203540.0,4900001.0,5137958.0,690.5387,2022-03-22
5137958.0,5210000.0,5064708.0,5197590.0,392.7379,2022-03-23
5197590.0,5401454.0,5173117.0,5381500.0,548.5778,2022-03-24
5382203.0,5508258.0,5312914.0,5412949.0,414.9520,2022-03-25
5412948.0,5465094.0,5390036.0,5436171.0,141.3220,2022-03-26
5436071.0,5734428.0,5426645.0,5728455.0,365.4889,2022-03-27
5728471.0,5950000.0,5707001.0,5819857.0,630.7489,2022-03-28
5820286.0,5930000.0,5780999.0,5842732.0,446.3934,2022-03-29
5841574.0,5841574.0,5700000.0,5735804.0,392.2107,2022-03-30
5737501.0,5788888.0,5512005.0,5551155.0,383.1994,2022-03-31
5548480.0,5743885.0,5434678.0,5669999.0,512.2090,2022-04-01
5670000.0,5780866.0,5593611.0,5612719.0,214.5786,2022-04-02
5613176.0,5813163.0,5583096.0,5693627.0,233.4885,2022-04-03
5693627.0,5754899.0,5545200.0,5723809.0,295.2983,2022-04-04
5723590.0,5801198.0,5620000.0,5638266.0,405.2300,2022-04-05
5633250.0,5639182.0,5341952.0,5348155.0,606.8724,2022-04-06
5348155.0,5447487.0,5292541.0,5395916.0,469.1041,2022-04-07
5395917.0,5469936.0,5239422.0,5261421.0,411.4082,2022-04-08
5259504.0,5327423.0,5247500.0,5323723.0,131.7080,2022-04-09
5323723.0,5394999.0,5212002.0,5249338.0,187.6552,2022-04-10
5249506.0,5311413.0,4926601.0,4961667.0,552.1072,2022-04-11
4963556.0,5114998.0,4928888.0,5032218.0,578.0015,2022-04-12
5032662.0,5217345.0,4991234.0,5162855.0,520.3940,2022-04-13
