date,btc_open,btc_high,btc_low,btc_close,btc_volume,btc_daily_return,total_flow_usd,total_flow_usd_ma5,premium_spot_bps,premium_spot_ma24,funding_rate_bps,next_observation_return,is_etf_observation
2024-01-11 00:00:00+00:00,46663.0,49027.5,45600.0,46337.8,596698.379,,655300000.0,655300000.0,0.7553007003147094,1.2958166568253586,1.0,-0.0765875807655952,True
2024-01-12 00:00:00+00:00,46337.9,46536.2,41370.0,42788.9,575943.258,-0.07658758076559524,203000000.0,429150000.0,-2.2672699942249963,-3.892801894954759,1.0,0.008041805234535,True
2024-01-13 00:00:00+00:00,42789.0,43273.4,42445.7,42846.4,207737.326,0.0013438064544777362,,,,,,,False
2024-01-14 00:00:00+00:00,42846.4,43096.1,41713.5,41734.9,181096.968,-0.025941502670002614,,,,,,,False
2024-01-15 00:00:00+00:00,41734.9,43376.0,41720.0,42515.0,240059.141,0.018691790324165014,,,,,,,False
2024-01-16 00:00:00+00:00,42515.0,43589.0,42050.0,43133.0,287207.233,0.014536046101375932,-52700000.0,268533333.3333333,-1.7386083483339476,-6.682710184151564,1.0,-0.0081051631001785,True
2024-01-17 00:00:00+00:00,43133.0,43198.0,42200.0,42783.4,209396.081,-0.008105163100178503,453800000.0,314850000.0,-8.558517489907214,-7.404603258006024,1.0,-0.034132397144687,True
2024-01-18 00:00:00+00:00,42783.3,42932.3,40673.6,41323.1,335080.756,-0.03413239714468708,-126600000.0,226560000.0,-8.22696751557661,-12.388137358964787,1.0,0.0082060639206642,True
2024-01-19 00:00:00+00:00,41323.2,42197.0,40300.0,41662.2,345941.73,0.008206063920664253,43600000.0,104220000.0,-8.391938074410188,-12.059896567760546,1.0,-0.0502901911084867,True
2024-01-20 00:00:00+00:00,41662.1,41883.5,41453.6,41691.8,95866.062,0.0007104761630447598,,,,,,,False
2024-01-21 00:00:00+00:00,41691.8,41880.9,41500.0,41580.0,67035.552,-0.002681582469454491,,,,,,,False
2024-01-22 00:00:00+00:00,41579.9,41692.3,39402.0,39567.0,459024.106,-0.04841269841269846,-87400000.0,46140000.0,-11.056909089713908,-9.710789692811185,1.0,0.0081633684636186,True
2024-01-23 00:00:00+00:00,39567.1,40172.7,38545.0,39890.0,414373.386,0.008163368463618648,-106100000.0,35460000.0,-4.837383702276377,-10.006072019862293,1.0,0.0047305088994735,True
2024-01-24 00:00:00+00:00,39889.9,40560.6,39493.3,40078.7,272754.171,0.004730508899473573,-158300000.0,-86960000.0,-1.771241425694292,-5.86979872207613,1.0,-0.0031288439994309,True
2024-01-25 00:00:00+00:00,40078.8,40300.0,39535.3,39953.3,203728.679,-0.003128843999430919,-79800000.0,-77600000.0,-4.862229733971768,-5.0311515145583705,1.0,0.0463816505770486,True
2024-01-26 00:00:00+00:00,39953.3,42239.3,39813.1,41806.4,355418.478,0.04638165057704868,14800000.0,-83360000.0,-2.082560741554218,-3.681500019031744,1.0,0.035432373990585,True
2024-01-27 00:00:00+00:00,41806.4,42187.1,41360.1,42102.2,118437.114,0.007075471698113178,,,,,,,False
2024-01-28 00:00:00+00:00,42102.2,42836.0,41600.0,42021.2,205736.453,-0.0019238899629948625,,,,,,,False
2024-01-29 00:00:00+00:00,42021.2,43340.8,41768.3,43287.7,249502.11,0.030139548608797417,255600000.0,-14760000.0,0.803645038300882,-1.3309549399389644,1.0,-0.0085336019238719,True
2024-01-30 00:00:00+00:00,43287.6,43888.0,42665.6,42918.3,257582.784,-0.00853360192387198,247100000.0,55880000.0,0.3912335734290728,-0.0772489511007001,0.5149,-0.00833677009574,True
2024-01-31 00:00:00+00:00,42918.3,43748.6,42257.6,42560.5,313069.11,-0.008336770095740076,197700000.0,127080000.0,-7.496477219350872,-4.607197789689664,1.0,0.0120322834553165,True
2024-02-01 00:00:00+00:00,42560.5,43288.0,41866.8,43072.6,274321.107,0.012032283455316595,38500000.0,150740000.0,-0.9586161018737548,-6.8740233976973455,1.0,0.0025398977540247,True
2024-02-02 00:00:00+00:00,43072.6,43480.0,42512.7,43182.0,205767.574,0.0025398977540247447,80000000.0,163780000.0,-4.245370370369317,-4.811817614834753,1.0,-0.011326478625353,True
2024-02-03 00:00:00+00:00,43182.0,43372.2,42858.3,42992.4,89735.22,-0.004390718354870038,,,,,,,False
2024-02-04 00:00:00+00:00,42992.4,43112.1,42176.7,42570.3,127421.548,-0.009818014346721693,,,,,,,False
2024-02-05 00:00:00+00:00,42570.3,43580.0,42235.1,42692.9,240655.549,0.002879942119270895,68100000.0,126280000.0,-11.948385223619074,-10.033362660284704,1.0,0.0090460006230543,True
2024-02-06 00:00:00+00:00,42692.9,43378.8,42559.8,43079.1,196157.643,0.009046000623054384,33600000.0,83580000.0,-0.7331965163870358,-8.10200134759719,1.0,0.0289490727522161,True
2024-02-07 00:00:00+00:00,43079.1,44388.0,42763.4,44326.2,252057.708,0.028949072752216143,146000000.0,73240000.0,-1.3506322492196077,-4.549430954522565,0.8305999999999999,0.021271843740271,True
2024-02-08 00:00:00+00:00,44326.3,45600.0,44306.8,45269.1,299738.288,0.021271843740271024,405000000.0,146540000.0,3.654337234604288,0.8407922733712213,0.259,0.0408004577073544,True
2024-02-09 00:00:00+00:00,45269.2,48230.3,45218.1,47116.1,519919.419,0.04080045770735441,541500000.0,238840000.0,5.864285082333165,3.020437847142861,0.9801,0.0600113337054637,True
2024-02-10 00:00:00+00:00,47116.1,48189.6,46836.4,47732.6,179626.604,0.013084699285382362,,,,,,,False
2024-02-11 00:00:00+00:00,47732.6,48600.0,47539.4,48303.4,209951.626,0.0119582842753172,,,,,,,False
2024-02-12 00:00:00+00:00,48303.4,50413.2,47702.0,49943.6,450895.202,0.03395620184086412,493400000.0,323900000.0,4.916134235706249,3.887996586258713,1.0,-0.0049495831297703,True
2024-02-13 00:00:00+00:00,49943.6,50428.8,48301.0,49696.4,382348.085,-0.004949583129770341,631300000.0,443440000.0,5.185153438891366,4.715625576842501,1.0,0.0427958564403054,True
2024-02-14 00:00:00+00:00,49696.4,52100.0,49215.7,51823.2,395191.791,0.04279585644030548,339700000.0,482180000.0,12.24438494940694,6.903152682605126,1.2283,0.0014530171814941,True
2024-02-15 00:00:00+00:00,51823.1,52859.0,51334.9,51898.5,392724.603,0.001453017181494154,477400000.0,496660000.0,10.464533538936394,9.045696618468954,1.0,0.0048190217443664,True
2024-02-16 00:00:00+00:00,51898.4,52623.0,51611.7,52148.6,259819.793,0.004819021744366436,331800000.0,454720000.0,7.391972735841801,6.734049640424177,1.0,0.002853384366982,True
2024-02-17 00:00:00+00:00,52148.7,52192.8,50647.5,51679.4,222342.005,-0.008997365221693365,,,,,,,False
2024-02-18 00:00:00+00:00,51679.5,52450.0,51178.0,52175.9,166636.426,0.009607309682387877,,,,,,,False
2024-02-19 00:00:00+00:00,52175.9,52532.9,51688.8,51813.8,196387.978,-0.0069399857022111044,,,,,,,False
2024-02-20 00:00:00+00:00,51813.7,53090.9,50788.0,52297.4,388913.064,0.009333420826111993,135300000.0,383100000.0,3.5783433303682166,1.6756455545532951,2.0259,-0.0080233434166898,True
2024-02-21 00:00:00+00:00,52297.3,52402.3,50528.4,51877.8,308127.301,-0.008023343416689865,-35600000.0,249720000.0,0.4397351637108748,1.417684982479665,1.0,-0.0108119465358978,True
2024-02-22 00:00:00+00:00,51877.9,52130.8,50967.5,51316.9,244144.647,-0.010811946535897898,251400000.0,232060000.0,-5.794680358646165,-2.5780787872177933,1.2557,-0.0106202829866963,True
2024-02-23 00:00:00+00:00,51316.9,51576.3,50512.7,50771.9,215474.562,-0.010620282986696372,232500000.0,183080000.0,0.5714944481294282,-2.0572907741993327,1.2991,0.0736568850092274,True
2024-02-24 00:00:00+00:00,50771.9,51736.6,50611.4,51602.1,104944.457,0.01635156454653064,,,,,,,False
2024-02-25 00:00:00+00:00,51602.1,52050.0,51300.4,51764.9,122177.26,0.0031549103621753005,,,,,,,False
2024-02-26 00:00:00+00:00,51764.9,54991.8,50922.5,54511.6,393466.231,0.053061051021058514,519900000.0,220700000.0,10.46506868011221,3.1182988136634058,2.7227,0.0470156810660482,True
2024-02-27 00:00:00+00:00,54511.7,57780.0,54495.0,57074.5,511475.535,0.047015681066048254,576900000.0,309020000.0,6.965612351488293,7.148410717557156,2.2965,0.0948479618743922,True
2024-02-28 00:00:00+00:00,57074.5,64300.0,56730.1,62487.9,1010118.442,0.09484796187439226,673400000.0,450820000.0,13.9031043325466,7.859596244503368,5.353800000000001,-0.0205575799474777,True
2024-02-29 00:00:00+00:00,62487.9,63762.8,60452.0,61203.3,584713.883,-0.020557579947477755,92300000.0,419000000.0,7.860171716533859,3.7195903485719626,5.7031,0.0200528402880235,True
2024-03-01 00:00:00+00:00,61203.3,63199.0,60844.8,62430.6,299231.827,0.020052840288023566,-139600000.0,344580000.0,7.825235342109327,5.904923738533028,4.601,0.0939571299971486,True
2024-03-02 00:00:00+00:00,62430.6,62513.1,61605.0,62039.9,159283.629,-0.006258149048703587,,,,,,,False
2024-03-03 00:00:00+00:00,62039.9,63330.9,61339.5,63178.5,200312.503,0.018352705275153536,,,,,,,False
2024-03-04 00:00:00+00:00,63178.5,68600.0,62299.0,68296.4,632882.144,0.08100698813678697,562700000.0,353140000.0,16.767354314284333,9.985761505856468,6.361999999999999,-0.0666067318335957,True
2024-03-05 00:00:00+00:00,68296.5,69350.0,59112.0,63747.4,1053025.132,-0.06660673183359578,648300000.0,367420000.0,12.047264445536054,8.983080374022022,8.8148,0.0373458368498167,True
2024-03-06 00:00:00+00:00,63747.5,67729.5,62829.3,66128.1,534011.813,0.03734583684981674,332000000.0,299140000.0,7.300900626026063,8.263697598742727,4.9354,0.0112191337721785,True
2024-03-07 00:00:00+00:00,66128.0,68101.3,65609.3,66870.0,296092.788,0.011219133772178536,472500000.0,375180000.0,17.215585552137203,10.502805980312871,5.4217,0.0195932406161207,True
2024-03-08 00:00:00+00:00,66870.0,70330.8,66120.0,68180.2,459387.207,0.019593240616120777,222900000.0,447680000.0,24.216067743336733,19.128893865383485,6.2913,0.0582808498655036,True
2024-03-09 00:00:00+00:00,68180.2,68608.7,67908.7,68360.1,94899.005,0.002638595956010903,,,,,,,False
2024-03-10 00:00:00+00:00,68360.2,69999.8,68155.0,69001.8,233596.523,0.009387054729293798,,,,,,,False
2024-03-11 00:00:00+00:00,69001.8,72890.0,67000.0,72153.8,474396.897,0.045679967768956775,505400000.0,436220000.0,4.561718469269227,5.7837601894996284,6.6396,-0.0090168501173881,True
2024-03-12 00:00:00+00:00,72153.9,73370.0,68600.0,71503.2,472072.331,-0.009016850117388175,1045000000.0,515560000.0,3.3477014852345555,2.7049466852294146,4.7935,0.0227178643753007,True
2024-03-13 00:00:00+00:00,71503.3,73755.0,71388.1,73127.6,288446.338,0.022717864375300767,683700000.0,585900000.0,8.570950376480813,8.037503900206836,4.5402000000000005,-0.0228655117903501,True
2024-03-14 00:00:00+00:00,73127.6,73881.4,68600.0,71455.5,513901.237,-0.022865511790350124,132700000.0,517940000.0,-3.4122932768021474,0.5966914124186836,3.8258,-0.0266361581683706,True
2024-03-15 00:00:00+00:00,71455.6,72500.0,65580.0,69552.2,705810.685,-0.026636158168370616,198800000.0,513120000.0,1.0115129744892035,-4.113296440129745,1.5306,-0.027205465822792,True
2024-03-16 00:00:00+00:00,69552.1,70097.6,64750.0,65351.0,333426.129,-0.06040355301485789,,,,,,,False
2024-03-17 00:00:00+00:00,65351.0,68972.4,64559.8,68447.9,314890.309,0.047388716316506097,,,,,,,False
2024-03-18 00:00:00+00:00,68447.9,69044.4,66601.6,67660.0,317885.916,-0.01151094482080528,-154300000.0,381180000.0,0.4511167654341896,-3.955569387403639,2.7195,-0.0840363582618977,True
2024-03-19 00:00:00+00:00,67660.0,68178.6,61582.8,61974.1,700466.795,-0.0840363582618977,-326200000.0,106940000.0,-5.026042423480481,-4.069921184732632,2.4018,0.0952381720751087,True
2024-03-20 00:00:00+00:00,61974.1,68140.0,60800.0,67876.4,637362.465,0.09523817207510876,-261500000.0,-82100000.0,2.6960292603939173,-1.8226791156270945,1.0,-0.0344228627328496,True
2024-03-21 00:00:00+00:00,67876.4,68293.9,64550.1,65539.9,347218.385,-0.03442286273284967,-93900000.0,-127420000.0,-2.5297219427955486,-0.6491496893266021,1.951,-0.0261504823779101,True
2024-03-22 00:00:00+00:00,65539.9,66691.9,62294.0,63826.0,401149.333,-0.026150482377910178,-51600000.0,-177500000.0,2.808925360331393,0.1204854879018058,1.1993,0.095486165512487,True
2024-03-23 00:00:00+00:00,63826.1,66050.0,63020.2,64020.3,239124.0,0.0030442139566948523,,,,,,,False
2024-03-24 00:00:00+00:00,64020.4,67700.0,63822.0,67260.9,244179.435,0.05061831950178286,,,,,,,False
